NomAgente,VlrEnergiaEconomizadaTotal,VlrRetiradaDemandaPontaTotal,VlrCustoTotal,Score
Celesc distribuição s/a,17032.79,3894.06,0.0,697561.6666666666
Companhia energetica do piauí,2704.07,1128.46,0.0,383253.0
Rio grande energia s/a,8030.9,1542.65,0.0,277951.5
Companhia energetica de alagoas,13556.78,4064.7299999999996,5303958.184,225893.80014194828
Enel distribuicao sao paulo,217579.91,33046.1,4544203.9439130435,203848.0876956407
Companhia energetica de pernambuco,4579.0,620.0,0.0,183846.0
Elektro redes s.a.,31912.37,5769.25,2002802.9941666666,180265.0000885389
Energisa tocantins distribuidora de energia s.a.,10477.220000000001,3247.14,0.0,143589.33333333334
Proponente,11907.2,2559.35,635047.5137499999,115790.3752321222
Cemig distribuição s.a.,584529.74,99706.23,6479941.031868132,106548.26411784341
Companhia paulista de fora e luz,4745.05,536.51,0.0,105631.2
Energisa paraíba distribuidora de energia s.a.,80577.12,17307.66,263153.365,104799.1670514563
Energisa tocantins distribuidora de energia sa,1593.34,270.72,0.0,93203.0
Cpfl santa cruz,761.55,163.58,0.0,92513.0
Companhia paulista de força e luz,304894.39,100564.65000000001,1146501.358372093,88759.2327357142
Energisa sul-sudeste distribuição de energia s.a.,2719.62,1428.1599999999999,892194.1,85864.50043755893
Centrais eletricas do para s/a,42259.35,12210.27,7076075.789166667,85201.91707940762
Companhia jaguari de energia elétrica,3636.05,1548.15,0.0,80941.25000000001
Celesc distribuio s.a.,653.94,155.37,0.0,80931.0
Centrais eletricas do para,6515.24,1439.33,409295.23874999996,73837.87513184601
Energisa acre distribuidora de energia s.a.,574.61,124.49,0.0,69910.0
Energisa sergipe distribuidora de energia s.a.,8903.470000000001,3054.77,3645912.58,63598.00016519383
Companhia jaguari de energia eltrica,1064.79,168.04,0.0,61641.49999999999
Edp são paulo distribuição de energia s.a,23666.04,9138.58,923580.2278571428,60924.64376798535
Celesc distribuição s.a.,267784.51,81727.92,1843698.8115686274,53906.342940236886
Rge sul distribuidora de energia s.a.,60330.11,6323.86,2932157.6732432432,53711.37868938068
Centrais elétricas de rondônia s.a   ceron,7310.41,1670.69,324624.6766666667,52430.66685070228
Energisa mato grosso distribuidora de energia s.a,7931.18,3286.4500000000003,2459290.1036363635,50259.81858919957
Energisa minas gerais -distribuidora de energia s. a.,368.98,84.24,0.0,45322.0
Ceb distribuição,326.8,78.1,0.0,40490.0
Ceb distribuição sa,95101.59,23076.45,1160558.5016666667,36726.50014170491
Energisa sergipe distribuidora de energia s.a,877.4,200.32,0.0,35924.0
Celesc distribuição s.a,46867.04,10471.23,613698.2932,35609.200233441785
Enel distribuição goiás,14601.0,3076.33,0.0,35032.0
Companhia piratininga de fora e luz,300.99,44.38,0.0,34537.0
Energisa paraba distribuidora de energia s.a,1354.1799999999998,309.18,99826.365,29562.500301060238
Centrais eltricas de rondnia s.a   ceron,239.51,54.68,0.0,29419.0
Ceb distribuição as,2704.56,413.15,0.0,28548.5
Energisa sul sudeste distribuidora de energia s.a,1099.62,431.59000000000003,0.0,27513.333333333332
Iguaçu distrib. de energia elétrica ltda - inergia,1310.58,464.09000000000003,0.0,26313.999999999996
Energisa borborema distribuidora de energia,213.97,25.58,0.0,23955.0
Copel distribuição s.a,346278.47000000003,26008.52,1190072.2768273093,22801.49037507983
Centrais elétricas do pará  celpa,638.31,28.34,0.0,22612.0
Cooperativa de eletrificação grão pará,173.2,27.31,0.0,20051.0
Energisa paraba distribuidora de energia s.a.,855.8,196.17000000000002,34327.858,20037.000058401543
Energisa mato grosso distribuidora de energia s a,8216.44,1476.77,825286.2211764706,18314.882620037755
Companhia piratininga de força e luz,68692.47,20516.809999999998,1257242.7565853659,17828.53693070766
Neoenergia distribuição brasília s.a,14428.37,2003.02,2314816.129166667,16839.58392437214
Energisa minas gerais distribuidora de energia s.a,5751.9400000000005,2389.87,87754.89777777778,16741.44491054307
Eletrobras distribuição acre,109.16,49.58,0.0,15874.0
Edp espirito santo distribuidora de energia s/a,36108.03,13257.5,1359235.4788888888,15020.72296524793
Energisa sul-sudeste distribuidora de energia s.a.,10863.960000000001,3079.61,96196.96571428572,14393.066547037095
Ceb distribuição s/a,2419.77,247.44,449974.6475,14318.8752647176
Energisa minas gerais distribuidora de energia sa,580.42,95.46000000000001,0.0,13631.333333333334
Companhia de eletricidade do acre,7166.91,1828.6799999999998,842118.925,12219.40224354243
Dme distribuição s.a.,1954.38,361.4,0.0,12073.5
Energisa tocantins distribuidora de energia s.a,558.5799999999999,84.35,0.0,10993.0
Elektro - eletricidade e serviços s/a,6056.700000000001,3889.69,0.0,10333.0
Energisa sul-sudeste distribuidora de energia s.a,484.78,71.39,138191.49,10246.500406862955
Elektro redes s.a,41068.75,7901.82,2775996.7794444445,9801.028266045654
Centrais elétricas de rondônia s.a - ceron,62.14,34.76,0.0,9690.0
Energisa paraãba distribuidora de energia s.a.,1550.96,362.83,140796.498,9554.100267855301
Companhia energética de alagoas,35367.57,10826.92,582758.8875,9537.000217991155
Energisa mato grosso distribuidora de energia s/a,24103.31,5108.81,731172.0719999999,8230.800531703897
Edp são paulo distribuição de energia sa,8436.22,4716.429999999999,0.0,7855.666666666667
Energisa minas gerais distribuidora de energia as,61.67,14.08,0.0,7575.0
Energisa mato grosso do sul - distribuidora de energia s.a.,37941.46,12740.59,458700.77058823535,6691.48579655875
Companhia de eletricidade do estado da bahia,405174.75,80764.74,1622746.5501990048,6295.768052997245
Energisa nova friburgo,50.68,10.61,0.0,6129.0
Energisa nova friburgo distribuidora de energia s.a,83.16000000000001,19.69,0.0,5142.5
Centrais elétricas de rondônia s.a - ceron,4971.32,1070.77,1074974.991818182,4297.727777993045
Equatorial energia goias,27982.07,4629.91,1940381.1293548387,4169.678153185225
Ceb distribuição s.a.,39495.47,10608.87,374210.84032258065,3938.966310365727
Eletropaulo metropolitana eletricidade de são paulo s.a.,664683.6799999999,157193.03,1553737.4390041495,3086.1471993878054
Cemig distribuição s.a,686914.02,146928.78,1266173.8574166666,2444.5663742139204
Edp são paulo distribuição de energia s/a,31600.050000000003,10752.61,2425104.6996,2003.08079188985
Energisa borborema distribuidora de energia s.a,551.59,113.52,171823.6375,1777.0006906678145
Elektro redes s.a.,3040105.94,84374.54,1421147.7876744187,1443.3496524542672
Companhia energetica do maranhão,143.12,11.45,214346.115,1308.0001497694477
Energisa tocantins distribuidora de energia s.a.,22870.71,7393.31,277247.4426190476,981.5861903339477
Energisa sergipe - distribuidora de energia s.a,43155.96,12252.49,199968.94453333333,319.50796533742107
Cooperativa aliança,4551.15,1341.8,118153.73666666666,265.00382946609363
Centrais elétricas de rondônia sa ceron,13623.81,4188.0199999999995,758208.6100000001,0.2140316589189323
Espírito santo distribuição de energia s/a.,110555.75,32343.98,541527.1898876404,0.06380667519860181
Companhia energética do piauí,23676.78,201.39,2604060.9250000003,0.04921553353564373
Companhia campolarguense de energia,2798.8999999999996,836.5799999999999,5000.0,0.04480791038417923
Companhia leste paulista de energia,7791.49,2504.9900000000002,100082.1447368421,0.04398383011857451
Energisa mato grosso distribuidora de energia s.a.,7348.47,1431.62,299148.47428571427,0.03954515090359236
Companhia sul paulista de energia,5652.89,2713.45,81919.41210526317,0.038382386251420306
Cpfl santa cruz,2954.21,985.1199999999999,166507.78666666665,0.03600167430872533
Equatorial maranhao distribuidora de energia s.a.,2113.7,464.78,9738.618181818181,0.03444469288684025
Companhia energtica de pernambuco,6453.78,1532.76,218948.30000000002,0.034335700804934005
Companhia paulista de fora e luz,906.52,99.88,36000.0,0.02795554779012561
Nova palma energia ltda,736.74,229502.03,27968.14,0.02296370772603063
Light serviços de eletricidade s a,783342.21,186289.67,1766729.905180723,0.02176397469480133
Rio grande energia sa,343326.69,3151086.14,1583632.1671153845,0.021544045419767007
Ampla energia e serviços s.a.,330196.91,94372.37,1293427.5666336634,0.02072182305944365
Energisa mato grosso do sul - distribuidora de energia s.a.,111094.97,31044.59,361177.26351851854,0.019071844266936328
Companhia paulista de força e luz,571271.65,189534.22,1972968.5510843375,0.01779746743695858
Companhia energética de alagoas - ceal,24879.17,8089.900000000001,208156.70686131387,0.016085123931475216
Companhia energetica do piaui,17311.84,3566.14,4867592.803333334,0.015977308790366178
Companhia energtica de pernambuco,4314.6,923.59,400000.0,0.013095474672613135
Muxfeldt marin e cia ltda,319.8,126.7,6948.07,0.011314282872681552
Centrais elétricas pará s/a,32892.25,0.0,2926712.96,0.01123863198651831
Companhia estadual de distribuição de energia elétrica - ceee-d,87913.48,50504.76,499687.5873333334,0.01117877557598586
Enel distribuicao goias,43386.18,7873.16,1192179.13375,0.010385343935395759
Companhia jaguari de energia,4814.31,1034.26,248121.56625,0.009666904035804513
Força e luz coronel vivida ltda,266.46,90.52,18860.79,0.009463543434000679
Roraima energia s.a,535.46,142.5,73320.41,0.009246537322072078
Cemar - companhia energetica do maranhao,73896.23,21986.04,5211411.265000001,0.009163980267645817
Centrais elétricas de carazinho s/a.,956.19,301.95,40298.0,0.00778902235499402
Companhia energética de roraima,128.66,43.71,23396.0,0.007367495568688849
Boa vista energia s/a,5995.88,2856.25,496648.25,0.007129827121140167
Energisa mato grosso - distribuidora de energia s.a.,109332.63,31280.239999999998,459794.29318181815,0.006884149173586639
Dme distribuição s.a. - dmed,5422.76,1880.4,79956.93909090909,0.00652922523730235
Equatorial piaui distribuidora de energia s.a.,7614.14,1596.47,343276.1295833333,0.006407080555116698
Empresa de eletricidade vale paranapanema s/a,12618.98,7922.400000000001,104266.90225806451,0.006304488991106903
Celesc distribuio,1061.46,29.87,175000.0,0.006236171072218795
Companhia energética de pernambuco,230425.03,35908.64,2778368.1944262297,0.006232511616170942
Companhia sul sergipana de eletricidade,7275.84,2334.25,154245.63,0.00622334108834644
Companhia de eletricidade do amapá,2159.46,743.82,243382.0,0.005964450700361954
Energisa borborema - distribuidora de energia s.a,20135.239999999998,4559.91,221493.72583333333,0.005802194026432028
Companhia luz e força de mococa,9205.72,3469.37,93949.19647058824,0.0055641619134618805
Companhia campolarguense de energia,9087.57,3299.94,177216.425,0.005526991990785173
Empresa luz e força santa maria s.a.,11582.61,4314.71,137566.29304347828,0.005519453207564171
Centrais elétricas do pará s.a. - celpa,93602.91,72273.05,505784.8545544555,0.0054340215827665145
Companhia energética do rio grande do norte cosern,44460.65,12570.73,324427.91159420286,0.005282231144858991
Iguaçu distribuidora de energia elétrica ltda,1798.18,1064.01,79504.06333333334,0.005218157553113915
Cemar - companhia energética do para s/a,19970.59,2616.76,4471032.31,0.005051931720323597
Copel distribuicao s.a.,317967.92,121329.39,497324.5420149254,0.004949816612076793
Companhia nacional de energia elétrica,8758.63,3307.08,210109.30363636362,0.004819883776649787
Companhia energetica do ceara,191211.35,55099.05,706227.3801526717,0.004731060438310954
Rge sul distribuidora de energia s.a.,185034.57,60459.46,807795.274074074,0.004598885786160254
Energisa sul-sudeste - distribuidora de energia s.a.,33499.270000000004,16523.58,188677.9230232558,0.004582772248639962
Celpa - centrais eletricas do para s/a,38397.45,1358.71,4399192.86,0.004518574335659896
Manaus energia s/a,29681.79,13011.2,1117675.75,0.004498304845557571
Empresa força e luz joão cesa ltda,269.74,125.42,7932.902857142857,0.004446343193192494
Companhia hidroelétrica são patrício - chesp,2258.62,533.85,44282.91294117647,0.004180085328035907
Energisa minas gerais,656.34,38.08,169461.69,0.004097799089705816
Energisa paraíba - distribuidora de energia s.a,34373.52,9644.95,755147.6952941177,0.003943606245908941
Edp são paulo distribuição de energia s.a.,171934.22,75477.48,1447509.0073809524,0.003920627689040778
Companhia energética do piauí,23611.42,5815.38,1684763.5666666667,0.003739172462692042
Empresa elétrica bragantina s.a.,9148.0,3003.26,210753.55545454545,0.003637611275487405
Empresa força e luz urussanga ltda,560.13,226.84,25214.497857142855,0.0036313064291988314
Energisa nova friburgo - distribuidora de energia s.a.,1724.64,929.6600000000001,127607.00454545455,0.0035905754670552213
Equatorial para distribuidora de energia s.a.,2096.67,528.84,297812.79916666663,0.0034894161455023415
Companhia luz e força santa cruz,14423.85,5193.21,315069.005625,0.003363199828856856
Celg distribuição s.a.,41698.42,13866.880000000001,1506605.5709090908,0.0031530139124990105
Energisa mato grosso do sul - distribuidora de energia s.a.,11612.029999999999,1717.85,2974768.61,0.0031388458037452343
Companhia força e luz do oeste,1909.46,1126.72,43138.58933333333,0.003020716959498633
Hidropan distribuicao de energia s.a.,1044.22,250.9,104386.22666666667,0.0028873118944635
Companhia energética do maranhão,72068.19,14195.640000000001,541020.5602777778,0.002793951650417305
Amazonas distribuidora de energia s/a,33271.06,9346.52,924309.1292307692,0.0027781944917274573
Hidrelétrica xanxerê ltda,469.11,225.54000000000002,76807.945,0.0025542607445802386
Cia estadual de distribuicao de energia eletrica,280.21,43.71,44995.369999999995,0.0021912108102745864
Companhia piratininga de força e luz,43257.22,9118.44,1828241.6674074072,0.0019115748606711223
Energisa sergipe distribuidora de energia s.a.,233.61,80.52,199999.99,0.00157065
Empresa de distribuição de energia vale paranapanema s/a,1671.32,386.88,474769.62666666665,0.0014991373514128144
Energisa minas gerais - distribuidora de energia s.a,170.57,39.75,142496.97,0.0014759611045791986
Comp. est. de distr. de energia elétrica - ceee-d,2360.87,546.84,22589.0,0.0012833083785408126
Light serviços de eletricidades s. a.,90615.13,5969.12,19741593.65,0.0012495962566950699
Companhia hidroeletrica são patrício - chesp,942.9200000000001,225.22,499754.79,0.0011687131369223468
Enel distribuicao ceara,96665.79,6874.719999999999,2472177.442727273,0.0011551481824412105
Energisa paraiba distribuidora de energia s.a.,762.04,177.67000000000002,443544.38,0.0010759030858579948
Equatorial alagoas,21279.42,810.1299999999999,1572061.1949999998,0.0010282807789756053
Companhia estadual de distribuição de energia elétrica,21960.31,4511.14,1743430.2236363636,0.0010013446609731939
Equatorial energia alagoas,790.22,96.34,466560.83499999996,0.0009500908223601471
Energisa paraíba - distribuidora de energia,7171.08,1781.77,718871.3462500001,0.0009490996253249323
Energisa mato grosso - distribuidora de energia s.a,1250.75,262.56,314530.33714285714,0.0009315539337984931
Equatorial energia maranhão,959.9200000000001,226.59,325677.0475,0.0009112448154074949
Energisa paraíba - distribuidora de energia s.a,3083.47,651.56,382662.7382352942,0.0009105708009878855
Companhia jaguarí de energia,195.44,40.05,259352.2,0.0009079930338746679
Energisa tocantins - distribuidora de energia,2637.58,1171.93,4312192.0,0.0008834277302971953
Energisa minas gerais - distribuidora de energia s.a.,1662.2399999999998,1577.95,426900.74333333335,0.0008615913499577963
Cpfl jaguari (santa cruz),110.45,23.88,157436.59,0.0008532323487676945
Enel distribuicao rio,18619.46,5683.53,332715.8333333333,0.0008372498441872856
03.467.321/0001-99,2574.47,559.94,772718.882,0.000806137858704869
Edp so paulo distribuio de energia s/a,732.06,167.14,1116754.03,0.0008051907293749301
Departamento municipal de energia de ijui,803.08,319.18,457282.435,0.0007998755082077027
Energisa minas rio - distribuidora de energia s/a,460.72,96.84,115379.43,0.0007891628983160387
Energisa tocantins distribuidora de energia s.a.,87.57,1.65,116680.06,0.0007646550092059424
Energisa mato grosso - distribuidora de energia,2820.86,464.55,422039.6354545455,0.0007392060846995896
Enel distribuicao rio,68899.92,10177.97,2223813.55,0.0007370140833727949
Equatorial maranhão distribuidora de energia s.a.,548.24,129.31,309364.8566666667,0.0007306107469124725
Energisa minas gerais distribuidora de energia s.a.,13552.37,7976.240000000001,152804.0342857143,0.0007078839762591447
Energisa tocantins - distribuidora de energia s.a.,3549.24,1475.14,1061539.687777778,0.0006955513925907585
Neoenergia distribuição brasília,2665.14,908.14,5160000.0,0.000692496122688961
Energisa minas gerais - distribuidora de energia s/a,657.3599999999999,139.93,97975.40222222223,0.000688528976887597
Energisa rondônia - distribuidora de energia s.a.,1586.97,209.62,217671.41333333333,0.0006835219971851423
Energisa paraba distribuidora de energia sa,253.48,57.87,465322.96,0.000669105159369201
Energisa minas gerais - distribuidora de energia s.a.,1643.1399999999999,614.86,432099.7466666667,0.0006541493491592833
Companhia energetica do rio grande do norte,12338.77,3228.7299999999996,742708.0188888889,0.000643950138375426
Departamento municipal de energia de ijuí,18.4,47.52,104400.0,0.0006314175640404632
Energisa minas rio - distribuidora de energia s.a,1286.44,489.9,920648.495,0.00061944372336685
Companhia de eletricidade do acre,2210.3,520.67,254168.64055555558,0.0006024990779369764
Energisa rondonia distribuidora energisa s a,1168.36,266.75,2400000.0,0.0005979624975084897
Energisa mato grosso distribuidora de energia s. a.,397.45,78.64,799799.45,0.0005952617172309668
Energisa sergipe - distribuidora de energia sa,16221.22,6948.639999999999,551038.46,0.0005841878880071659
Energisa rondônia - distribuidora de energia s.a,3992.1899999999996,1172.75,3351222.295,0.0005836139755926004
Energisa paraíba distribuidora de energia s.a,1521.12,327.87,279257.448,0.0005762453817277928
Energisa acre - distribuidora de energia s.a,162.84,31.6,340616.79,0.0005708467697424203
Energisa mato grosso - distribuidora de energia s.a,5073.9800000000005,1021.4,685891.02,0.0005697501600608786
Eletropaulo metropolitana eletricidade são paulo,409104.12,227768.97,1329069.87,0.0005669980272218643
Energisa rondonia - distribuidora de energia as,582.78,92.85,1209186.12,0.000558747725629304
Companhia energetica do maranhao,20498.63,6816.52,2446282.4385714284,0.0005574307825275813
Energisa sul sudeste - distribuidora de energia s.a,3020.96,478.76,302271.662,0.0005572378559136613
Energisa sul-sudeste - distribuidora de energia,1420.19,607.66,3644300.0,0.0005564443087658965
Energisa rondônia distribuidora de energia s.a.,1106.96,488.68,2914977.73,0.0005473935454477949
Cersul - cooperativa de distribuição de energia,86.17,19.16,196530.56,0.0005359471557020366
Companhia jaguari de energia eletrica,437.16,49.38,921972.55,0.0005277163563306049
Rge sul distribuidora de energia s.a.,17755.19,4193.27,1836156.342857143,0.0005276825092654616
Rge sul distribuidora de energia,3336.48,484.73,826362.7644444444,0.0005175856002996845
Equatorial alagoas distribuidora de energia s.a.,1945.01,423.68,1612752.6460000002,0.000516860040117594
Energisa sul-sudeste - distribuidora de energia s.a,90.19999999999999,8.89,100612.495,0.0005149357102255281
Edp so paulo distribuio de energia s.a,599.08,141.03,1443898.8,0.0005125774707162477
Light servios de eletricidade s.a,1077.52,246.96,2610173.16,0.000507429934236892
